"poziom_studiow;forma_studiow;kod_przedmiotu;Subject;rodzaj_zajec;numer_grupy;prowadzacy;Start Date;Start Time;End Time;budynek;nr_sali
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"ćwiczenia laboratoryjne";"9";"dr inż. Sławomir Zieliński";"2025-11-06";"9:45";"11:15";"D17";"4.23"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"wykład";"1";"prof. dr hab. inż. Piotr Faliszewski";"2025-11-06";"16:45";"18:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-013";"Algorytmy macierzowe";"wykład";"1";"prof. dr hab. Maciej Paszyński";"2025-11-06";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"wykład";"1";"dr hab. inż. Maciej Woźniak";"2025-11-07";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"wykład";"1";"prof. dr hab. inż. Aleksander Byrski";"2025-11-07";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-013";"Algorytmy macierzowe";"ćwiczenia laboratoryjne";"2";"dr inż. Tomasz Służalec";"2025-11-07";"16:45";"18:15";"D17";"4.28"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"ćwiczenia laboratoryjne";"3";"mgr inż. Jacek Nawrot";"2025-11-07";"18:30";"20:00";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"wykład";"1";"prof. dr hab. inż. Krzysztof Zieliński";"2025-11-10";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"wykład";"1";"dr inż. Ada Brzoza-Zajęcka";"2025-11-10";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"ćwiczenia audytoryjne";"4";"dr inż. Janusz Majewski";"2025-11-10";"18:30";"20:00";"D17";"3.27c"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"ćwiczenia laboratoryjne";"3";"dr inż. Katarzyna Rycerz";"2025-11-12";"8:00";"9:30";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"wykład";"1";"mgr inż. Jacek Nawrot";"2025-11-12";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"ćwiczenia laboratoryjne";"5";"mgr inż. Katarzyna Heryan";"2025-11-13";"8:00";"9:30";"D17";"3.24"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"ćwiczenia laboratoryjne";"9";"dr inż. Sławomir Zieliński";"2025-11-13";"9:45";"11:15";"D17";"4.23"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"wykład";"1";"prof. dr hab. inż. Piotr Faliszewski";"2025-11-13";"16:45";"18:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-118";"Grafika komputerowa";"wykład";"1";"dr hab. inż. Tadeusz Szuba";"2025-11-13";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"wykład";"1";"dr hab. inż. Maciej Woźniak";"2025-11-14";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"wykład";"1";"prof. dr hab. inż. Aleksander Byrski";"2025-11-14";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"wykład";"1";"prof. dr hab. inż. Krzysztof Zieliński";"2025-11-17";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"wykład";"1";"dr inż. Ada Brzoza-Zajęcka";"2025-11-17";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-118";"Grafika komputerowa";"ćwiczenia laboratoryjne";"5";"dr hab. inż. Tadeusz Szuba";"2025-11-17";"18:30";"20:00";"C2";"214"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"ćwiczenia laboratoryjne";"3";"dr inż. Katarzyna Rycerz";"2025-11-18";"8:00";"9:30";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"ćwiczenia laboratoryjne";"14";"mgr inż. Andrzej Brodzicki";"2025-11-18";"9:45";"11:15";"D17";"3.27d"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"ćwiczenia audytoryjne";"4";"mgr inż. Łukasz Janeczko";"2025-11-19";"8:00";"9:30";"D17";"3.27b"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"wykład";"1";"dr inż. Marcin Kuta";"2025-11-19";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"ćwiczenia laboratoryjne";"5";"mgr inż. Katarzyna Heryan";"2025-11-20";"8:00";"9:30";"D17";"3.24"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"ćwiczenia laboratoryjne";"9";"dr inż. Sławomir Zieliński";"2025-11-20";"9:45";"11:15";"D17";"4.23"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"wykład";"1";"prof. dr hab. inż. Piotr Faliszewski";"2025-11-20";"16:45";"18:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-013";"Algorytmy macierzowe";"wykład";"1";"prof. dr hab. Maciej Paszyński";"2025-11-20";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"wykład";"1";"dr hab. inż. Maciej Woźniak";"2025-11-21";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"wykład";"1";"prof. dr hab. inż. Aleksander Byrski";"2025-11-21";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"ćwiczenia laboratoryjne";"3";"mgr inż. Jacek Nawrot";"2025-11-21";"18:30";"20:00";"D17";"4.31"
